日付け,3m,6m,2y,5y,10y,30y
10月 2005,3.867,4.206,4.415,4.355,4.557,4.752
11月 2005,3.937,4.33,4.404,4.461,4.49,4.705
12月 2005,3.997,4.327,4.528,4.604,4.395,4.541
１月 2006,4.454,4.565,4.691,4.816,4.519,4.684
２月 2006,4.602,4.719,4.824,4.912,4.557,4.514
３月 2006,4.592,4.804,4.871,5.036,4.853,4.894
４月2006,4.758,4.905,5.041,5.102,5.057,5.165
５月2006,4.802,5.016,5.162,4.907,5.123,5.224
６月 2006,4.976,5.23,4.967,4.696,5.145,5.189
７月 2006,5.048,5.133,4.788,4.585,4.988,5.07
８月 2006,5.03,5.099,4.691,4.567,4.732,4.879
９月 2006,4.851,4.99,4.701,4.447,4.633,4.764
10月 2006,5.068,5.105,4.621,4.694,4.604,4.718
11月 2006,5.014,5.083,4.825,4.809,4.462,4.563
12月 2006,4.98,5.075,4.925,4.53,4.7,4.811
１月 2007,5.103,5.132,4.659,4.541,4.814,4.911
２月 2007,5.114,5.08,4.583,4.516,4.577,4.69
３月 2007,5.017,5.047,4.595,4.857,4.648,4.842
４月2007,4.835,4.982,4.921,4.927,4.628,4.816
５月2007,4.71,4.941,4.871,4.558,4.892,5.011
６月 2007,4.757,4.924,4.513,4.255,5.027,5.126
７月 2007,4.92,4.968,4.157,4.255,4.733,4.896
８月 2007,3.862,4.134,3.988,4.176,4.527,4.827
９月 2007,3.672,3.99,3.954,3.397,4.594,4.839
10月 2007,3.828,3.942,3.015,3.455,4.473,4.745
11月 2007,2.959,3.279,3.059,2.765,3.949,4.383
12月 2007,3.128,3.389,2.109,2.474,4.035,4.462
１月 2008,1.849,2,1.628,2.448,3.597,4.324
２月 2008,1.766,1.81,1.602,3.018,3.519,4.41
３月 2008,1.264,1.465,2.27,3.43,3.421,4.3
４月2008,1.352,1.625,2.657,3.337,3.734,4.474
５月2008,1.905,2.028,2.632,3.245,4.067,4.725
６月 2008,1.72,2.183,2.524,3.094,3.975,4.523
７月 2008,1.67,1.888,2.379,2.989,3.958,4.575
８月 2008,1.726,1.95,1.98,2.812,3.825,4.426
９月 2008,0.91,1.602,1.568,1.919,3.829,4.315
10月 2008,0.442,0.947,1,1.559,3.97,4.372
11月 2008,0.036,0.427,0.768,1.883,2.92,3.438
12月 2008,0.127,0.262,0.95,1.991,2.22,2.68
１月 2009,0.243,0.356,0.978,1.668,2.851,3.608
２月 2009,0.254,0.457,0.805,2.014,3.021,3.708
３月 2009,0.208,0.422,0.907,2.342,2.668,3.537
４月2009,0.132,0.279,0.922,2.56,3.119,4.039
５月2009,0.137,0.289,1.117,2.516,3.461,4.332
６月 2009,0.193,0.348,1.115,2.387,3.537,4.331
７月 2009,0.185,0.259,0.972,2.315,3.482,4.302
８月 2009,0.142,0.236,0.949,2.308,3.401,4.181
９月 2009,0.127,0.173,0.901,2.003,3.305,4.048
10月 2009,0.051,0.162,0.667,2.684,3.388,4.229
11月 2009,0.056,0.155,1.143,2.325,3.198,4.196
12月 2009,0.061,0.195,0.816,2.305,3.837,4.635
１月 2010,0.076,0.15,0.816,2.554,3.588,4.493
２月 2010,0.124,0.185,1.02,2.418,3.619,4.559
３月 2010,0.157,0.238,0.964,2.099,3.833,4.714
４月2010,0.165,0.238,0.774,1.778,3.659,4.521
５月2010,0.162,0.223,0.605,1.598,3.303,4.216
６月 2010,0.177,0.223,0.554,1.331,2.935,3.894
７月 2010,0.147,0.198,0.477,1.273,2.905,3.991
